ISO3,Country,Group,Profile,Share_2024_pct,Share_2050_pct,Change_pp,Share_2050_WithoutBirthReplacementMigration_pct,BirthReplacementMigration_Attributed_Change_pp,Birth_Replacement_Pressure_2050,Europe_Migration_Response_2050,Migration_Composition_Weight_2050,SSA_LateMigration_CompositionWeight_2050,Share_2050_WithoutSSALateMigration_pct,SSA_LateMigration_Attributed_Change_pp,Pop_2024,Pop_2050
AUT,Austria,Unaffiliated,religion,23.39,24.87,1.49,25.34,-0.46,0.335,0.197,0.0346,0.0064,25.02,-0.14,2133106,2170158
AUT,Austria,Vajrayana / Other Buddhism,religion,0.19,0.14,-0.06,0.14,0.0,0.335,0.197,0.0346,0.0064,0.14,-0.0,17776,12075
AZE,Azerbaijan,Catholic Christianity,religion,0.47,0.44,-0.03,0.44,0.0,0.0,0.0,0.0,0.0,0.44,0.0,48840,49692
AZE,Azerbaijan,Folk / Traditional,religion,0.45,0.38,-0.07,0.38,0.0,0.0,0.0,0.0,0.0,0.38,0.0,46515,42849
AZE,Azerbaijan,Ibadi / Other Islam,religion,1.95,1.91,-0.04,1.91,0.0,0.0,0.0,0.0,0.0,1.91,0.0,201150,214453
AZE,Azerbaijan,Orthodox Christianity,religion,0.09,0.08,-0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.0,9303,9465
AZE,Azerbaijan,Other Christianity,religion,0.18,0.17,-0.01,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.0,18606,18930
AZE,Azerbaijan,Other religions,religion,0.45,0.44,-0.01,0.44,0.0,0.0,0.0,0.0,0.0,0.44,0.0,46515,49862
AZE,Azerbaijan,Protestant Christianity,religion,0.38,0.36,-0.02,0.36,0.0,0.0,0.0,0.0,0.0,0.36,0.0,39537,40227
AZE,Azerbaijan,Shia Islam,religion,63.24,62.09,-1.15,62.09,0.0,0.0,0.0,0.0,0.0,62.09,0.0,6537368,6969712
AZE,Azerbaijan,Sunni Islam,religion,32.11,31.99,-0.12,31.99,0.0,0.0,0.0,0.0,0.0,31.99,0.0,3318972,3590676
AZE,Azerbaijan,Unaffiliated,religion,0.68,2.13,1.45,2.13,0.0,0.0,0.0,0.0,0.0,2.13,0.0,69772,239054
BDI,Burundi,African Independent / Syncretic Christianity,religion,14.05,14.14,0.09,14.14,0.0,0.0,0.0,0.0,0.0,14.14,0.0,1973449,3411111
BDI,Burundi,Catholic Christianity,religion,24.19,24.34,0.15,24.34,0.0,0.0,0.0,0.0,0.0,24.34,0.0,3398717,5874691
BDI,Burundi,Folk / Traditional,religion,2.45,1.79,-0.66,1.79,0.0,0.0,0.0,0.0,0.0,1.79,0.0,344174,431541
BDI,Burundi,Hinduism,religion,0.1,0.04,-0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,14048,8456
BDI,Burundi,Ibadi / Other Islam,religion,0.3,0.32,0.02,0.32,0.0,0.0,0.0,0.0,0.0,0.32,0.0,42143,77598
BDI,Burundi,Indigenous / Syncretic traditions,religion,7.43,5.58,-1.85,5.58,0.0,0.0,0.0,0.0,0.0,5.58,0.0,1043624,1346817
BDI,Burundi,Orthodox Christianity,religion,4.68,4.71,0.03,4.71,0.0,0.0,0.0,0.0,0.0,4.71,0.0,657816,1137037
BDI,Burundi,Other Christianity,religion,3.9,3.93,0.02,3.93,0.0,0.0,0.0,0.0,0.0,3.93,0.0,548180,947531
BDI,Burundi,Other religions,religion,0.99,1.18,0.19,1.18,0.0,0.0,0.0,0.0,0.0,1.18,0.0,138780,284136
BDI,Burundi,Protestant Christianity,religion,31.22,31.57,0.36,31.57,0.0,0.0,0.0,0.0,0.0,31.57,0.0,4385442,7619218
BDI,Burundi,Shia Islam,religion,0.9,0.96,0.06,0.96,0.0,0.0,0.0,0.0,0.0,0.96,0.0,126430,232794
BDI,Burundi,Sunni Islam,religion,8.8,9.48,0.68,9.48,0.0,0.0,0.0,0.0,0.0,9.48,0.0,1236205,2287195
BDI,Burundi,Unaffiliated,religion,0.99,1.96,0.97,1.96,0.0,0.0,0.0,0.0,0.0,1.96,0.0,138780,473597
BEL,Belgium,African Independent / Syncretic Christianity,religion,0.0,0.1,0.1,0.1,0.0,0.204,0.126,0.0224,0.0143,0.0,0.1,0,11913
BEL,Belgium,Catholic Christianity,religion,46.68,33.44,-13.25,33.46,-0.03,0.204,0.126,0.0224,0.0143,33.65,-0.21,5479750,3969129
