City,Country,ISO3,Country_Alpha2,Continent,Latitude,Longitude,GeoNames_Population,Is_Capital,City_Rank_In_Selected_Country,Matched_Subdivision,City_HDI_2025,City_HDI_2050,City_HDI_Change,National_HDI_2025,National_HDI_2050,Urban_Premium_2025,Urban_Premium_2050,Projection_Method,Confidence,Data_Status,GeoNames_ID
Plovdiv,Bulgaria,BGR,BG,Europe,42.15387,24.75001,329489,False,2,Plovdiv,0.847195,0.866905,0.01971,0.845,0.8655,0.002195,0.001405,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,728193
Cali,Colombia,COL,CO,America,3.43054,-76.5199,2392877,False,2,Valle (incl Cali),0.832749,0.866892,0.034144,0.788,0.8334,0.004984,0.003189,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3687925
Varna,Bulgaria,BGR,BG,Europe,43.21912,27.91024,318737,False,3,Varna,0.847037,0.866804,0.019767,0.845,0.8655,0.002037,0.001304,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,726050
Dhaka,Bangladesh,BGD,BD,Asia/Pacific,23.7104,90.40744,10356500,True,1,Dhaka,0.753077,0.866703,0.113626,0.685,0.8161,0.011965,0.007658,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,1185241
Tunis,Tunisia,TUN,TN,Africa,36.81897,10.16579,693210,True,1,"Grand Tunis (Tunis, Ariana, Ben Arous, Manouba)",0.799436,0.866692,0.067256,0.746,0.8268,0.006615,0.004234,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,2464470
Burgas,Bulgaria,BGR,BG,Europe,42.50651,27.46886,210646,False,4,Burgas,0.846721,0.866602,0.01988,0.845,0.8655,0.001721,0.001102,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,732770
Cordoba,Argentina,ARG,AR,America,-31.40648,-64.18853,2106734,False,2,Cordoba,0.867965,0.866532,-0.001434,0.865,0.8641,0.002965,0.002432,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,3860259
Stara Zagora,Bulgaria,BGR,BG,Europe,42.43205,25.64262,121582,False,5,Stara Zagora,0.846349,0.866363,0.020014,0.845,0.8655,0.001349,0.000863,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,726848
Kingstown,St. Vincent & Grenadines,VCT,VC,,13.15527,-61.22742,24518,True,1,Saint George Parish,0.80107,0.866165,0.065095,0.798,0.8642,0.00307,0.001965,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,3577887
Rosario,Argentina,ARG,AR,America,-32.94682,-60.63932,948312,False,3,Santa Fe,0.86749,0.866142,-0.001348,0.865,0.8641,0.00249,0.002042,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,3838583
Tijuana,Mexico,MEX,MX,America,32.5027,-117.00371,1922523,False,2,Baja California,0.822748,0.866065,0.043316,0.789,0.8415,0.004799,0.003072,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3981609
San Miguel de Tucuman,Argentina,ARG,AR,America,-26.81601,-65.21051,548866,False,5,Tucuman,0.866975,0.865719,-0.001255,0.865,0.8641,0.001975,0.001619,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,3836873
Calliaqua,St. Vincent & Grenadines,VCT,VC,,13.12867,-61.19178,24205,False,2,Saint George Parish,0.800167,0.865587,0.06542,0.798,0.8642,0.002167,0.001387,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,3748746
Gazipur,Bangladesh,BGD,BD,Asia/Pacific,23.99844,90.42234,2674697,False,3,Dhaka,0.749432,0.86437,0.114938,0.685,0.8161,0.00832,0.005325,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,1200109
Barranquilla,Colombia,COL,CO,America,10.96854,-74.78132,1206319,False,4,Atlantico (incl Barranquilla),0.827803,0.862917,0.035113,0.788,0.8334,0.004038,0.002585,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3689147
Skopje,North Macedonia,MKD,MK,Europe,41.99646,21.43141,474889,True,1,Grad Skopje,0.818924,0.862512,0.043587,0.815,0.86,0.003924,0.002512,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,785842
Samut Prakan,Thailand,THA,TH,Asia/Pacific,13.5976,100.5972,388920,False,2,Samut Prakan,0.801475,0.862324,0.060849,0.798,0.8601,0.003475,0.002224,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,1606590
Mueang Nonthaburi,Thailand,THA,TH,Asia/Pacific,13.86075,100.51477,254375,False,3,Nonthaburi,0.800983,0.862009,0.061026,0.798,0.8601,0.002983,0.001909,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,1608133
Chon Buri,Thailand,THA,TH,Asia/Pacific,13.3622,100.98345,219164,False,4,Chon Buri,0.800667,0.861807,0.06114,0.798,0.8601,0.002667,0.001707,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,1611110
