ISO3,Country,Group,Share_2024_pct,Share_2050_pct,Change_pp,Pop_2024,Pop_2050,Anchor
CHE,Switzerland,Polish,1.2,1.28,0.08,107064,119754,False
CHE,Switzerland,Indian,1.1,1.94,0.84,98142,181621,False
CHE,Switzerland,Chinese,0.8,0.77,-0.03,71376,72327,False
CHE,Switzerland,Macedonian,0.7,0.75,0.05,62454,69856,False
CHE,Switzerland,Bosnian,0.7,0.75,0.05,62454,69856,False
CHE,Switzerland,Iranian,0.6,0.76,0.16,53532,71198,False
CHE,Switzerland,Filipino,0.6,0.84,0.24,53532,78147,False
CHE,Switzerland,Other,5.6,5.98,0.38,499631,558851,False
CHL,Chile,White (Spanish/European descent),60.0,53.34,-6.66,11858864,10838428,True
CHL,Chile,Mestizo,28.9,31.99,3.09,5712020,6499491,False
CHL,Chile,Mapuche,9.1,11.93,2.83,1798594,2424237,False
CHL,Chile,Aymara,1.0,1.31,0.31,197648,266400,False
CHL,Chile,Other indigenous,0.7,1.1,0.4,138353,223522,False
CHL,Chile,Other,0.3,0.34,0.04,59294,68228,False
CHN,China,Han Chinese,91.1,89.83,-1.27,1293001690,1132094397,True
CHN,China,Zhuang,1.4,1.66,0.26,19870498,20910153,False
CHN,China,Hui (Chinese Muslim),0.8,0.85,0.05,11354570,10765872,False
CHN,China,Manchu,0.7,0.55,-0.15,9935249,6903726,False
CHN,China,Uyghur,0.8,0.95,0.15,11354570,11948659,False
CHN,China,Miao/Hmong,0.8,0.95,0.15,11354570,11948659,False
CHN,China,Tibetan,0.5,0.59,0.09,7096606,7467912,False
CHN,China,Yi,0.7,0.83,0.13,9935249,10455076,False
CHN,China,Tujia,0.7,0.83,0.13,9935249,10455076,False
CHN,China,Other,2.5,2.96,0.46,35483032,37339559,False
CIV,Cote d'Ivoire,Akan (Baoule/Agni),28.9,30.66,1.76,9228992,17089811,True
CIV,Cote d'Ivoire,Voltaique/Gur,16.1,15.65,-0.45,5141411,8723788,False
CIV,Cote d'Ivoire,Northern Mande (Malinke),14.5,14.09,-0.41,4630463,7856827,False
CIV,Cote d'Ivoire,Krou (Bete),8.5,8.26,-0.24,2714409,4605726,False
CIV,Cote d'Ivoire,Southern Mande (Dan),6.9,6.71,-0.19,2203462,3738766,False
CIV,Cote d'Ivoire,Senoufo,3.5,3.4,-0.1,1117698,1896476,False
CIV,Cote d'Ivoire,Other,21.6,21.23,-0.37,6897793,11835590,False
CMR,Cameroon,Bamileke-Bamum,24.3,25.74,1.44,7077071,13153346,True
CMR,Cameroon,Fang-Beti,19.6,18.71,-0.89,5708255,9559436,False
CMR,Cameroon,Biu-Mandara,14.6,13.94,-0.66,4252067,7120804,False
CMR,Cameroon,Arab-Choa/Hausa,10.7,12.0,1.3,3116241,6131613,False
CMR,Cameroon,Mbam,4.6,4.39,-0.21,1339692,2243541,False
CMR,Cameroon,Maka-Njem,3.3,3.15,-0.15,961084,1609497,False
CMR,Cameroon,Grassfields (Tikar),3.0,2.86,-0.14,873712,1463179,False
CMR,Cameroon,Other,19.9,19.21,-0.69,5795626,9814908,False
COD,Congo (DRC),Luba,18.0,17.34,-0.66,19669728,37848036,False
COD,Congo (DRC),Kongo,16.0,15.42,-0.58,17484202,33642698,False
COD,Congo (DRC),Mongo,13.8,13.3,-0.5,15080124,29016827,False
COD,Congo (DRC),Banyarwanda,10.3,10.79,0.49,11255455,23553319,False
COD,Congo (DRC),Azande,6.1,5.88,-0.22,6665852,12826279,False
COD,Congo (DRC),Bangi-Ngale,5.4,5.2,-0.2,5900918,11354411,False
COD,Congo (DRC),Chokwe,4.5,4.34,-0.16,4917432,9462009,False
COD,Congo (DRC),Lulua,3.0,2.89,-0.11,3278288,6308006,False
COD,Congo (DRC),Tshokwe/Lunda,2.5,2.41,-0.09,2731907,5256672,False
COD,Congo (DRC),Other,20.4,22.44,2.04,22292358,48977815,True
COG,Congo,Kongo,48.5,49.81,1.31,3071490,5482153,True
COG,Congo,Sangha,19.1,18.6,-0.5,1209597,2047662,False
COG,Congo,Teke,14.5,14.12,-0.38,918281,1554508,False
COG,Congo,M'Bochi,12.3,11.98,-0.32,778955,1318651,False
COG,Congo,Punu,3.0,2.92,-0.08,189989,321622,False
COG,Congo,Other,2.6,2.56,-0.04,164657,281874,False
COL,Colombia,Mestizo,45.0,45.7,0.7,23798862,27139192,True
COL,Colombia,White (Spanish/European descent),39.2,36.52,-2.68,20731453,21686738,False
COL,Colombia,Afro-Colombian,6.8,7.42,0.62,3596272,4404671,False
COL,Colombia,Indigenous (Wayuu/Embera/etc.),4.3,5.56,1.26,2274113,3299183,False
COL,Colombia,Venezuelan migrant,3.0,3.21,0.21,1586591,1904493,False
COL,Colombia,Other,1.7,1.6,-0.1,899068,951073,False
COM,Comoros,Comorian (Antalote/Cafre/Makoa),97.0,97.05,0.05,840633,1268925,True
COM,Comoros,Makua / Other,3.0,2.95,-0.05,25999,38636,False
CPV,Cape Verde,Creole (Mulatto),71.0,71.85,0.85,372663,406766,True
CPV,Cape Verde,African,28.0,27.32,-0.68,146966,154679,False
CPV,Cape Verde,European,1.0,0.83,-0.17,5249,4697,False
CRI,Costa Rica,White or Mestizo,80.0,78.78,-1.22,4103927,4218255,True
CRI,Costa Rica,Mulatto,6.7,6.39,-0.31,343704,341879,False
CRI,Costa Rica,Indigenous (Bribri/Cabecar),2.4,3.25,0.85,123118,173880,False
CRI,Costa Rica,Black,1.1,1.05,-0.05,56429,56129,False
CRI,Costa Rica,Nicaraguan migrant,6.5,7.15,0.65,333444,382789,False
CRI,Costa Rica,Other Central American migrant,1.5,1.65,0.15,76949,88336,False
CRI,Costa Rica,Other,1.8,1.73,-0.07,92338,92881,False
CUB,Cuba,White (Spanish descent),62.1,56.58,-5.52,6818444,5308042,True
CUB,Cuba,Mulatto (Mixed),27.6,31.87,4.27,3030420,2989853,False
CUB,Cuba,Black,9.3,10.74,1.44,1021120,1007450,False
CUB,Cuba,Chinese-Cuban,1.0,0.82,-0.18,109798,76650,False
