ISO3,Country,Top1,Top1_2050_pct,Top2,Top2_2050_pct,Top3,Top3_2050_pct,Top4,Top4_2050_pct,Top5,Top5_2050_pct
BIH,Bosnia & Herzegovina,Bosniak (Muslim),55.5,Serb (Republika Srpska),26.7,Croat,13.3,Other,3.9,Roma,0.6
BLR,Belarus,Belarusian,85.3,Russian,6.6,Other,3.7,Polish,2.5,Ukrainian,2.0
BLZ,Belize,Mestizo,53.3,Creole,24.9,Maya: Q'eqchi',7.0,Garifuna,5.8,Maya: Yucatec/Mopan,5.5
BOL,Bolivia,Mestizo (Cholo),54.0,Quechua,13.8,Aymara,11.7,Other,8.0,Other Indigenous (Mojeño/Chiquitano),6.1
BRA,Brazil,Pardo (Mixed Euro/African/Indigenous),51.9,White: Portuguese descent,19.9,Black (African descent),8.7,White: Italian descent,6.4,White: German descent,3.6
BRB,Barbados,Black,93.2,Mixed,3.1,White,1.9,East Indian,1.3,Other,0.5
BRN,Brunei,Malay,69.0,Other foreign workers,21.4,Chinese,6.6,Indigenous (Dusun/Iban/etc.),2.9,,
BTN,Bhutan,Ngalop (Bhote),51.3,Lhotshampa (Nepali),34.1,Sharchop,12.7,Other,2.0,,
BWA,Botswana,Tswana (Batswana),79.7,Kalanga,10.7,Basarwa (San),3.0,Other,2.0,Kgalagadi,1.9
CAF,Central African Rep.,Baya,34.7,Banda,26.3,Mandjia,12.7,Sara,9.7,Mboum,6.8
CAN,Canada,White (European),50.1,South Asian (Indian),11.8,Black (African),5.9,Chinese,5.5,Filipino,4.9
CHE,Switzerland,Swiss,65.0,Other,6.1,German,4.3,Italian,3.3,Portuguese,3.0
CHL,Chile,White (Spanish/European descent),53.3,Mestizo,32.0,Mapuche,11.9,Aymara,1.3,Other indigenous,1.1
CHN,China,Han Chinese,89.8,Other,3.0,Zhuang,1.7,Miao/Hmong,0.9,Uyghur,0.9
CIV,Cote d'Ivoire,Akan (Baoule/Agni),30.7,Other,21.2,Voltaique/Gur,15.7,Northern Mande (Malinke),14.1,Krou (Bete),8.3
CMR,Cameroon,Bamileke-Bamum,25.7,Other,19.2,Fang-Beti,18.7,Biu-Mandara,13.9,Arab-Choa/Hausa,12.0
