ISO3,Country,Country_HDR2000,Rank_1998_HDR2000,HDI_1998_HDR2000,Coverage_Status,Data_Year,Report_Year,Methodology_Vintage,Source_Report,Source_Page,Source_PDF
VCT,St. Vincent & Grenadines,Saint Vincent and the Grenadines,79,0.738,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
SRB,Serbia,,,,Not ranked in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
MKD,North Macedonia,"Macedonia, TFYR",69,0.763,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
THA,Thailand,Thailand,76,0.745,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
ALB,Albania,Albania,94,0.713,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
GRD,Grenada,Grenada,54,0.785,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
ARM,Armenia,Armenia,93,0.721,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
PLW,Palau,,,,Not ranked in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
GUY,Guyana,Guyana,96,0.709,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
VNM,Vietnam,Viet Nam,108,0.671,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
DOM,Dominican Rep.,Dominican Republic,87,0.729,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
DMA,Dominica,Dominica,51,0.793,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
RUS,Russia,Russian Federation,62,0.771,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
MEX,Mexico,Mexico,55,0.784,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
AZE,Azerbaijan,Azerbaijan,90,0.722,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
MDV,Maldives,Maldives,89,0.725,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
FJI,Fiji,Fiji,66,0.769,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
PHL,Philippines,Philippines,77,0.744,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
