country_id,mae,rmse,mean_error,n_years
MRT,0.0018644341527718656,0.0020929053299419305,-0.0009635024987376228,10
MUS,0.0019080883361881074,0.0021882100131548217,0.0011259828763513613,10
MWI,0.002189950628128906,0.0023358440188429724,0.0006986414768802629,10
MYS,0.0016880378142020592,0.002023886431680276,0.0005687340995285117,10
NAM,0.00154617475286285,0.0021130713646418174,-0.0002538975296929591,10
NCL,0.0010985677861420795,0.0014461914528331756,-0.0003093021029377807,10
NER,0.001958075426799194,0.002402660566988909,0.00012034845414685136,10
NGA,0.002128608270420512,0.002610395950084707,-0.00025066874614409487,10
NIC,0.00159033319333739,0.0022845847423238904,2.9485715238619646e-05,10
NLD,0.0008404352330324549,0.0011218262796286764,-0.00029257446986457046,10
NOR,0.0008893483162599302,0.0014390379211860883,-0.0003318054345671895,10
NPL,0.002037284519900595,0.002397048160032405,-0.00030284882089899324,10
NRU,0.00231841819400469,0.00267561096981825,0.00027489881425466487,10
NZL,0.0007941439336795475,0.00101184588545601,9.091776883042302e-05,10
OMN,0.003050071047317959,0.004222173124493918,0.0015091681936331368,10
